id,JUST_IND,JUST_100,WGT_SCORE,PAY,TREAT,SUPPLY,COMM,JOBS,PROD,CUST,LEAD,ENV,INVEST,PAY.LIVING,PAY.PTO,PAY.HEALTH,PAY.FAIR,PAY.RETIRE,PAY.DISC,PAY.CEO,TREAT.SAFE,TREAT.WLB,TREAT.EDU,TREAT.DISC,TREAT.LAYOFF,TREAT.RESPECT,SUPPLY.ABUSE,SUPPLY.CONFLICT,SUPPLY.REPRESS,COMM.RELS,COMM.CHARITY,JOBS.US,PROD.BEN,PROD.QUAL,CUST.FAIR,CUST.RELS,CUST.DISC,CUST.PRIV,LEAD.LAWS,LEAD.INTEGRITY,LEAD.TRUTH,LEAD.TAX,LEAD.POLITICS,ENV.POLLUTION,ENV.MGMT,ENV.EFFICIENT,INVEST.ACCURATE,INVEST.PROFIT,INVEST.RETURN
40,2,Yes,53.74561951,65.57032535,56.16952588,50.03451631,39.77531714,50,41.03511844,46.57984453,45.05163056,53.15633474,48.0684311,67.95607515,53.6834129,58.88375722,83.58719432,50,67.07825128,31.66055218,45.47586072,62.14642906,47.31210451,65.8113883,50,59.87774994,50.07562833,50,50,38.70379857,43.10458531,50,26.69779718,53.22748612,50,13.36963766,50,65.65518641,33.68493984,50.81823584,58.24294548,44.33448236,50,59.08246082,47.49895543,53.23430329,59.47330933,22.9195742,47.70143825
42,2,No,51.66340699,45.63782017,58.54102721,50.03451631,58.08766805,50,69.86730392,53.44677336,41.75812067,54.88206724,59.74048439,17.67906472,59.05711047,48.7998816,41.56832324,76.54047159,67.07825128,55.84261361,45.47586072,68.6139491,30.4934726,65.8113883,50,72.48172514,50.07562833,50,50,62.90994449,43.10458531,50,89.43449707,53.22748612,50,60.44921512,50,54.26780628,24.98336661,43.78048869,58.24294548,61.00992289,20.1048377,44.60247839,63.60446231,56.05779878,59.47330933,64.94119821,51.1906041
43,2,Yes,54.4917757,54.1520216,57.43274556,50.03451631,58.08766805,50,47.89992451,51.14533353,57.93128543,43.1409222,63.28589026,67.95607515,43.96192636,41.2696213,51.19938171,74.95250017,41.46087436,58.36110886,62.44138303,47.77035576,99.25270435,65.8113883,50,36.39443833,50.07562833,50,50,62.90994449,43.10458531,50,41.63510668,53.22748612,50,60.44921512,50,46.13393544,57.25822783,60.37133062,58.24294548,61.28000578,20.1048377,31.36628321,47.49895543,51.25622842,59.47330933,77.70405732,52.25281971
49,2,No,51.02752643,50.31159999,43.69336103,50.03451631,39.77531714,71.08903144,46.52696329,51.14533353,59.20170523,51.49533464,47.81022148,67.95607515,59.05711047,41.2696213,43.09882153,34.11026286,41.46087436,59.38812578,45.47586072,55.9830823,51.56665336,26.28291755,50,54.31021301,50.07562833,50,50,38.70379857,43.10458531,71.08903144,38.64764478,53.22748612,50,60.44921512,50,46.13393544,57.25822783,68.03326656,58.24294548,50.47886817,50,67.2991997,47.49895543,38.37648718,59.47330933,40.28476842,13.67144909
51,3,Yes,61.26949867,69.94930964,73.38821352,-19.2195881,87.20383652,76.29686253,62.17645061,40.55389511,60.0206421,52.18155616,36.92454227,56.45856133,62.80987951,76.83226139,80.2445627,84.62324647,81.94785318,43.32010774,71.01869679,68.59375414,73.90769165,95.89122644,50,59.80106232,13.58164736,-2.955281124,-84.70397652,60.45021479,170.3288364,76.29686253,80.79979374,46.33927692,50,8.557800938,50,48.00231572,56.03675575,56.6569924,50,83.74879435,80.19626416,38.1596733,67.06134395,50.20212439,20.59326803,62.94879037,55.98611327
53,3,No,55.90842496,62.08680465,58.68176134,49.0802239,56.42107604,50,49.05243037,55.23726086,51.95527743,55.21486842,43.43895316,56.45856133,62.80987951,78.93433272,57.03033015,75.39399267,81.94785318,38.54819091,54.80847632,74.10235604,34.07715092,54.04922586,50,74.14899146,43.8777714,52.24506628,54.49013255,60.45021479,43.90231644,50,52.24289785,46.33927692,50,55.55931939,50,64.29932184,56.42284076,45.50704246,50,51.93086282,73.10863248,50.84436776,57.70025258,57.18437844,60.22842851,0.829213682,53.26805354
54,3,No,55.76045253,61.89135439,58.67974317,61.09429299,56.42107604,50,44.48755376,43.91129706,52.34980916,50.32574676,60.93377465,56.45856133,62.80987951,81.40445432,70.09280934,76.11611227,45.26698471,50.41901407,54.80847632,51.90154572,73.90769165,54.04922586,50,68.83220577,75.31851579,42.99004026,54.49013255,60.45021479,43.90231644,50,42.3100645,46.33927692,50,24.22497375,50,48.00231572,49.55336069,56.69793045,50,53.69370916,52.73169138,31.36441062,67.06134395,51.7174954,60.22842851,52.38662342,79.70543139
56,3,Yes,56.48651741,58.73720937,68.06537808,67.06227073,56.42107604,38.89241654,41.63450589,48.52245695,54.0872877,53.19285895,36.08460334,56.45856133,62.80987951,79.37427619,69.82375663,24.08855179,45.26698471,50.46111531,54.80847632,48.94772214,47.81460092,95.89122644,50,67.10766582,75.31851579,66.64177341,54.49013255,60.45021479,43.90231644,38.89241654,36.10204366,46.33927692,50,24.22497375,50,64.29932184,48.56442965,58.86202847,50,60.10486786,71.33672455,36.63367953,48.33916121,77.80252036,20.59326803,61.68511103,52.46820784
57,3,No,50.96676406,56.48502094,48.27719842,59.84224745,56.42107604,50,72.44742297,48.32051411,47.55080151,34.99983054,30.79725799,56.45856133,44.75959474,42.49790796,68.20839715,67.19934866,45.26698471,53.2549396,44.00166268,55.07686192,73.90769165,54.04922586,50,37.27826168,67.45832969,52.24506628,54.49013255,60.45021479,43.90231644,50,103.1486688,46.33927692,50,55.55931939,50,39.85378822,51.40966531,43.62879208,50,42.36969999,50,27.29258472,43.65861552,33.33506623,20.59326803,62.21811415,14.5710938
61,3,No,55.6160005,58.19414609,64.17400232,57.50695181,56.42107604,50,56.93565236,51.87985891,49.69143976,47.40474964,33.70654548,56.45856133,62.80987951,42.63046158,50.49240496,69.59390752,81.94785318,54.74591225,54.80847632,67.21500693,73.90769165,95.89122644,50,39.98984246,67.45832969,42.99004026,54.49013255,60.45021479,43.90231644,50,52.24289785,60.92634123,50,39.89214657,50,64.29932184,40.0540883,57.41911794,50,62.19783108,23.49521067,32.66325279,62.38079827,46.12566253,20.59326803,57.05422882,44.46267254
